# operator_id,operator_instance_id,total_number_of_operator_instances,epoch_timestamp,true_processing_rate,true_output_rate,observed_processing_rate,observed_output_rate
Source: Custom Source,1,1,115963235065655,0,109705.37486387165,0,79940.07986534949
Splitter FlatMap,1,2,115963256636316,122512.72886314773,1244599.9522210688,39847.25246418635,404806.0064719138
Splitter FlatMap,2,2,115963261869347,122613.65236651529,1246045.8737637822,39895.27844564501,405430.76672454504
Count -> Latency Sink,1,1,115963245981080,1845391.0738689527,0.0,811855.0491327642,0.0
Source: Custom Source,1,1,115983240052103,0,116939.79408939973,0,79979.97171453324
Splitter FlatMap,1,2,115983266491416,131386.98088770403,1334954.8320903534,39983.69621461257,406253.5580458344
Splitter FlatMap,2,2,115983275656380,123157.48746087115,1251393.4697232046,39938.11885189523,405808.060514142
Count -> Latency Sink,1,1,115983250541624,1663458.7635021766,0.0,812484.3387006071,0.0
